first_name,last_name,email,phone,interest_level,conversion_status,employee_id
Robert,Brown,robert.brown@gmail.com,995067782,High,TRUE,79
Jennifer,Williams,jennifer.williams@gmail.com,995352048,Medium,FALSE,73
Linda,Martinez,linda.martinez@gmail.com,992719307,High,TRUE,87
William,Martinez,william.martinez@gmail.com,992528905,High,TRUE,83
Linda,Miller,linda.miller@gmail.com,993396578,Medium,FALSE,9
William,Smith,william.smith@gmail.com,997122620,Low,FALSE,99
Mary,Johnson,mary.johnson@gmail.com,992977548,Medium,FALSE,21
Jennifer,Smith,jennifer.smith@gmail.com,994888381,Medium,TRUE,73
Linda,Rodriguez,linda.rodriguez@gmail.com,994335780,High,TRUE,28
Elizabeth,Miller,elizabeth.miller@gmail.com,995824792,High,TRUE,62
Mary,Smith,mary.smith@gmail.com,993773941,High,TRUE,110
Jennifer,Brown,jennifer.brown@gmail.com,998836695,High,TRUE,115
James,Garcia,james.garcia@gmail.com,997147401,High,TRUE,7
Patricia,Johnson,patricia.johnson@gmail.com,993407197,High,TRUE,80
William,Garcia,william.garcia@gmail.com,997086450,High,TRUE,16
John,Davis,john.davis@gmail.com,991069975,High,TRUE,97
Robert,Davis,robert.davis@gmail.com,996459432,Medium,FALSE,4
Robert,Smith,robert.smith@gmail.com,994566874,Low,FALSE,4
Mary,Davis,mary.davis@gmail.com,992582553,High,TRUE,103
Mary,Martinez,mary.martinez@gmail.com,992162012,Low,TRUE,40
Robert,Williams,robert.williams@gmail.com,991329378,Low,TRUE,17
Linda,Brown,linda.brown@gmail.com,998822881,High,TRUE,101
John,Brown,john.brown@gmail.com,991117799,Medium,FALSE,103
James,Martinez,james.martinez@gmail.com,995955586,Medium,TRUE,52
Robert,Martinez,robert.martinez@gmail.com,996959622,Medium,FALSE,93
Jennifer,Miller,jennifer.miller@gmail.com,997829430,High,TRUE,52
William,Rodriguez,william.rodriguez@gmail.com,999017447,Medium,FALSE,36
John,Johnson,john.johnson@gmail.com,999903345,High,TRUE,38
William,Johnson,william.johnson@gmail.com,995801075,Medium,FALSE,103
Elizabeth,Williams,elizabeth.williams@gmail.com,994156877,Medium,TRUE,50
Patricia,Williams,patricia.williams@gmail.com,991337785,Medium,FALSE,63
Linda,Jones,linda.jones@gmail.com,998705922,Medium,TRUE,101
Michael,Brown,michael.brown@gmail.com,994629090,Medium,TRUE,116
John,Smith,john.smith@gmail.com,993423330,High,TRUE,63
Robert,Rodriguez,robert.rodriguez@gmail.com,999405686,High,TRUE,62
William,Brown,william.brown@gmail.com,997972902,Low,FALSE,99
Jennifer,Davis,jennifer.davis@gmail.com,998755670,High,TRUE,7
William,Williams,william.williams@gmail.com,995178143,High,TRUE,27
John,Rodriguez,john.rodriguez@gmail.com,994283059,High,TRUE,92
John,Miller,john.miller@gmail.com,995181140,High,TRUE,86
Michael,Martinez,michael.martinez@gmail.com,991402789,Low,FALSE,14
Linda,Davis,linda.davis@gmail.com,993411016,Medium,FALSE,71
William,Miller,william.miller@gmail.com,997581464,Low,FALSE,101
Elizabeth,Rodriguez,elizabeth.rodriguez@gmail.com,994405471,Medium,TRUE,86
Patricia,Rodriguez,patricia.rodriguez@gmail.com,992562827,Medium,TRUE,5
Jennifer,Garcia,jennifer.garcia@gmail.com,993479711,High,TRUE,55
Patricia,Smith,patricia.smith@gmail.com,997756956,Medium,FALSE,2
Robert,Miller,robert.miller@gmail.com,995221089,High,TRUE,62
William,Davis,william.davis@gmail.com,998785815,Low,FALSE,91
Elizabeth,Martinez,elizabeth.martinez@gmail.com,998763851,Low,FALSE,21
