Listing ID,Employee Name,Client Name,Date of Transaction,Status,Final Price,Agent Fee Percentage
8585561689,"Leon, Patrick","Torres, Robert",2021-05-16,pending rental,,
8585561689,"Leon, Patrick","Torres, Robert",2021-06-09,rented,4502.79,100
1550678141,"Olson, Andrea","Cox, Megan",2022-01-29,pending sale,,
1550678141,"Olson, Andrea","Cox, Megan",2022-02-22,sold,972329.33,4.356720636916402
8476052241,"Simpson, Christina","Thompson, Tammy",2021-07-25,pending rental,,
8476052241,"Simpson, Christina",,2021-08-08,relisted,,
2107612233,"Wilcox, Frank","Flores, Ryan",2023-09-23,pending rental,,
2107612233,"Wilcox, Frank","Flores, Ryan",2023-09-26,rented,2964.62,100
4929040086,"Garcia, Christopher","Rojas, Kim",2024-03-15,pending sale,,
4929040086,"Garcia, Christopher","Rojas, Kim",2024-03-28,sold,853213.22,3.401220486125805
5607735460,"Turner, Cynthia","Williams, Kimberly",2023-08-09,pending sale,,
5607735460,"Turner, Cynthia","Williams, Kimberly",2023-09-05,sold,955508.22,4.178771714234321
1389717897,"Cameron, Katie","Parker, Brandy",2022-09-05,pending sale,,
1389717897,"Cameron, Katie","Parker, Brandy",2022-09-29,sold,981193.14,3.896047327693406
9388909297,"Sims, Roberto","Adams, Cody",2023-03-16,pending sale,,
9388909297,"Sims, Roberto","Adams, Cody",2023-04-10,sold,1609363.06,4.391352461069282
7677843520,"Thomas, Kenneth","Hernandez, Cheryl",2023-08-30,pending sale,,
7677843520,"Thomas, Kenneth","Hernandez, Cheryl",2023-09-20,sold,1008477.1,5.615364332836324
6509337924,"Johnson, Angelica","Daniels, Lauren",2023-02-24,pending sale,,
6509337924,"Johnson, Angelica","Daniels, Lauren",2023-03-12,sold,1882703.66,4.818839266273082
8705983375,"Dodson, Rhonda","Miller, Suzanne",2023-01-16,pending rental,,
8705983375,"Dodson, Rhonda",,2023-01-24,relisted,,
9832488926,"Cruz, Pamela","Campbell, Kevin",2022-10-26,pending sale,,
9832488926,"Cruz, Pamela",,2022-11-14,relisted,,
4574118312,"Watson, Samantha","Dennis, Alyssa",2022-09-13,pending rental,,
4574118312,"Watson, Samantha","Dennis, Alyssa",2022-10-07,rented,4557.99,100
5198750912,"Lewis, Kara","Foley, William",2024-01-01,pending rental,,
5198750912,"Lewis, Kara","Foley, William",2024-01-29,rented,2987.35,100
3984670548,"Jones, Sarah","Young, Scott",2022-05-27,pending sale,,
3984670548,"Jones, Sarah",,2022-06-22,relisted,,
8406139070,"Davis, Craig","Horton, Sarah",2022-07-03,pending sale,,
8406139070,"Davis, Craig","Horton, Sarah",2022-07-09,sold,419707.04,5.353936715534281
3229851791,"Smith, Joshua","Ramirez, Daniel",2022-10-05,pending rental,,
3229851791,"Smith, Joshua","Ramirez, Daniel",2022-10-11,rented,2463.67,100
6889555211,"Lowery, Michael","Johnson, Dustin",2021-11-17,pending sale,,
6889555211,"Lowery, Michael","Johnson, Dustin",2021-11-18,sold,355336.86,3.325007154900975
1314606010,"Mata, Miranda","Gill, Melissa",2023-09-22,pending rental,,
1314606010,"Mata, Miranda","Gill, Melissa",2023-09-29,rented,4208.54,100
1610737174,"Lee, Melissa","Adams, Rita",2021-12-30,pending rental,,
1610737174,"Lee, Melissa",,2022-01-11,relisted,,
7239676007,"Cameron, Katie","Robinson, Madison",2022-04-25,pending rental,,
7239676007,"Cameron, Katie",,2022-05-06,relisted,,
2086246155,"Davis, Ashley","Green, James",2022-05-02,pending rental,,
2086246155,"Davis, Ashley","Green, James",2022-05-23,rented,1565.57,100
3439331762,"Howard, Katherine","Mcdaniel, Jeffrey",2023-03-01,pending rental,,
3439331762,"Howard, Katherine","Mcdaniel, Jeffrey",2023-03-04,rented,4644.06,100
5965003897,"Clements, Derek","Bruce, Chris",2022-05-12,pending rental,,
5965003897,"Clements, Derek","Bruce, Chris",2022-06-04,rented,5022.93,100
4029988290,"Gray, Christina","Johnston, Beth",2024-04-22,pending rental,,
4029988290,"Gray, Christina","Johnston, Beth",2024-04-28,rented,2030.27,100
6671861321,"Smith, Joshua","Francis, Derek",2022-04-10,pending rental,,
6671861321,"Smith, Joshua",,2022-04-19,relisted,,
